2602:F919:900::/40,Northern America,,
2602:f919:900::/42,Northern America,,
2602:f919:900::/44,SG,SG-SGP,Singapore
2602:f919:910::/44,DE,DE-FRA,Germany
2602:f919:920::/44,US,US-CA,San Jose
2602:f919:930::/44,JP,JP-TKO,Tokyo
2602:f919:931::/48,JP,JP-TKO,Tokyo
2602:f919:932::/48,JP,JP-TKO,Tokyo
2602:f919:933::/48,KR,KR-SEO,Seoul
2602:f919:934::/48,JP,JP-TKO,Tokyo
2602:f919:935::/48,JP,JP-TKO,Tokyo
2602:f919:936::/48,TW,TW-TPE,Taipei
2602:f919:937::/48,TW,TW-TPE,Taipei
2602:f919:938::/48,TW,TW-TPE,Taipei
2602:f919:939::/48,TW,TW-TPE,Taipei
2602:f919:93a::/48,HK,HK-HKG,HongKong
2602:f919:93b::/48,HK,HK-HKG,HongKong
2602:f919:93c::/48,HK,HK-HKG,HongKong
2602:f919:93d::/48,HK,HK-HKG,HongKong
2602:f919:93e::/48,HK,HK-HKG,HongKong
2602:f919:93f::/48,HK,HK-HKG,HongKong
2602:f919:940::/42,JP,JP-TKO,Tokyo
2602:f919:941::/48,JP,JP-TKO,Tokyo
2602:f919:942::/48,JP,JP-TKO,Tokyo
2602:f919:943::/48,JP,JP-TKO,Tokyo
2602:f919:944::/48,JP,JP-TKO,Tokyo
2602:f919:945::/48,JP,JP-TKO,Tokyo
2602:f919:946::/48,JP,JP-TKO,Tokyo
2602:f919:947::/48,JP,JP-TKO,Tokyo
2602:f919:948::/48,JP,JP-TKO,Tokyo
2602:f919:949::/48,JP,JP-TKO,Tokyo
2602:f919:94a::/48,JP,JP-TKO,Tokyo
2602:f919:94b::/48,JP,JP-TKO,Tokyo
2602:f919:94c::/48,JP,JP-TKO,Tokyo
2602:f919:94d::/48,JP,JP-TKO,Tokyo
2602:f919:94e::/48,JP,JP-TKO,Tokyo
2602:f919:94f::/48,JP,JP-TKO,Tokyo
2602:f919:950::/48,MO,MO-MCO,Macao
2602:f919:951::/48,MO,MO-MCO,Macao
2602:f919:952::/48,MO,MO-MCO,Macao
2602:f919:953::/48,MO,MO-MCO,Macao
2602:f919:954::/48,MO,MO-MCO,Macao
2602:f919:955::/48,MO,MO-MCO,Macao
2602:f919:956::/48,SG,SG-SGP,Singapore
2602:f919:957::/48,SG,SG-SGP,Singapore
2602:f919:958::/48,SG,SG-SGP,Singapore
2602:f919:959::/48,SG,SG-SGP,Singapore
2602:f919:95a::/48,SG,SG-SGP,Singapore
2602:f919:95b::/48,SG,SG-SGP,Singapore
2602:f919:95c::/48,SG,SG-SGP,Singapore
2602:f919:95d::/48,SG,SG-SGP,Singapore
2602:f919:95e::/48,SG,SG-SGP,Singapore
2602:f919:95f::/48,SG,SG-SGP,Singapore
2602:f919:960::/48,SG,SG-SGP,Singapore
2602:f919:961::/48,SG,SG-SGP,Singapore
2602:f919:962::/48,SG,SG-SGP,Singapore
2602:f919:963::/48,SG,SG-SGP,Singapore
2602:f919:964::/48,SG,SG-SGP,Singapore
2602:f919:965::/48,SG,SG-SGP,Singapore
2602:f919:966::/48,SG,SG-SGP,Singapore
2602:f919:967::/48,SG,SG-SGP,Singapore
2602:f919:968::/48,SG,SG-SGP,Singapore
2602:f919:969::/48,SG,SG-SGP,Singapore
2602:f919:96a::/48,SG,SG-SGP,Singapore
2602:f919:96b::/48,SG,SG-SGP,Singapore
2602:f919:96c::/48,SG,SG-SGP,Singapore
2602:f919:96d::/48,SG,SG-SGP,Singapore
2602:f919:96e::/48,SG,SG-SGP,Singapore
2602:f919:96f::/48,SG,SG-SGP,Singapore
2602:f919:970::/48,SG,SG-SGP,Singapore
2602:f919:971::/48,SG,SG-SGP,Singapore
2602:f919:972::/48,SG,SG-SGP,Singapore
2602:f919:973::/48,SG,SG-SGP,Singapore
2602:f919:974::/48,SG,SG-SGP,Singapore
2602:f919:975::/48,SG,SG-SGP,Singapore
2602:f919:976::/48,SG,SG-SGP,Singapore
2602:f919:977::/48,SG,SG-SGP,Singapore
2602:f919:978::/48,SG,SG-SGP,Singapore
2602:f919:979::/48,SG,SG-SGP,Singapore
2602:f919:97a::/48,SG,SG-SGP,Singapore
2602:f919:97b::/48,SG,SG-SGP,Singapore
2602:f919:97c::/48,SG,SG-SGP,Singapore
2602:f919:97d::/48,SG,SG-SGP,Singapore
2602:f919:97e::/48,SG,SG-SGP,Singapore
2602:f919:97f::/48,SG,SG-SGP,Singapore
2602:f919:980::/42,JP,JP-TKO,Tokyo
2602:f919:9c0::/42,JP,JP-TKO,Tokyo
